Records: ,15100462
Datetime Range
2013-04-01 00:00:00,2013-05-01 02:19:25
Area Range
Min Lat,Min Lon,,Max Lat,Max Lon
-74.069908,-159.435,,74.035927,100.98785
Avg Pickup,,,Avg Dropoff
40.74862037010331,-73.9713091257871,,40.74923704925497,-73.97060044021627
Distance Histogram
0.0,0.25,0.5,0.75,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,3.25,3.5,3.75,4.0,4.25,4.5,4.75,5.0,5.25,5.5,5.75,6.0,6.25,6.5,6.75,7.0,7.25,7.5,7.75,8.0,8.25,8.5,8.75,9.0,9.25,9.5,9.75,10.0,10.25,10.5,10.75,11.0,11.25,11.5,11.75,12.0,12.25,12.5,12.75,13.0,13.25,13.5,13.75,14.0,14.25,14.5,14.75,15.0
244632,428956,1286587,1357754,1648246,1209287,1292283,890484,914284,623060,641972,442672,458203,319896,332935,233214,246614,173683,187798,138035,150136,109532,118739,87460,95232,70014,75786,56157,61509,45639,52067,39778,48963,39186,49278,41225,50419,40532,47356,37965,44573,35137,41197,30333,33954,25678,27035,20091,22042,15426,16285,11527,12286,9142,10119,7774,8815,6960,8003,6427,320090
Haversine Histogram
0.0,0.25,0.5,0.75,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,3.25,3.5,3.75,4.0,4.25,4.5,4.75,5.0,5.25,5.5,5.75,6.0,6.25,6.5,6.75,7.0,7.25,7.5,7.75,8.0,8.25,8.5,8.75,9.0,9.25,9.5,9.75,10.0,10.25,10.5,10.75,11.0,11.25,11.5,11.75,12.0,12.25,12.5,12.75,13.0,13.25,13.5,13.75,14.0,14.25,14.5,14.75,15.0
629161,1066065,1876367,1839836,1595438,1315633,1044175,834570,668603,547714,460075,383337,324317,275339,238981,203794,172141,143189,119729,103186,92396,95415,96080,96240,86345,70499,56133,43080,34629,30280,27360,24461,22625,23925,24451,20308,14895,13818,14040,14022,12549,11852,11277,10917,11087,11438,11658,14831,24120,34294,38249,37775,30297,21553,12326,8773,6419,4192,2508,1482,40213
Passengers Per Hour
00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
33400.7,24065.133333333335,18069.533333333333,13087.3,9398.533333333333,7733.433333333333,16881.366666666665,31528.4,39011.03333333333,39955.63333333333,38585.933333333334,39841.9,41769.03333333333,41052.7,43248.566666666666,41733.96666666667,34806.8,42383.833333333336,52629.066666666666,54410.53333333333,52630.13333333333,50921.566666666666,49640.63333333333,43452.6
