Records: ,14998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datetime Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2013 0:04,5/1/2013 0:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Lat,Min Lon,,Max Lat,Max Lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.395576,-89.316666,,41.453693,-0.29833299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Pickup,,,Avg Dropoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.75131593,-73.97646282,,40.75154849,-73.96418141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8,8.25,8.5,8.75,9,9.25,9.5,9.75,10,10.25,10.5,10.75,11,11.25,11.5,11.75,12,12.25,12.5,12.75,13,13.25,13.5,13.75,14,14.25,14.5,14.75,15
239,393,1269,1339,1626,1190,1287,880,889,602,646,492,477,291,349,235,251,188,166,141,159,108,129,77,80,79,79,63,69,34,54,44,45,33,61,48,63,43,54,40,34,25,32,22,39,25,30,19,21,16,17,16,16,11,10,6,10,7,10,10,310
Haversine Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8,8.25,8.5,8.75,9,9.25,9.5,9.75,10,10.25,10.5,10.75,11,11.25,11.5,11.75,12,12.25,12.5,12.75,13,13.25,13.5,13.75,14,14.25,14.5,14.75,15
592,991,1896,1866,1528,1323,1047,848,676,540,435,419,318,283,211,175,191,138,112,114,104,94,106,90,86,71,66,45,34,34,27,24,26,24,28,22,16,13,16,12,15,14,12,7,10,9,23,13,25,38,39,28,28,22,15,5,10,6,5,1,32
Passengers Per Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.56666667,23.53333333,17.66666667,11.06666667,10.3,7.866666667,17.16666667,31.13333333,41.96666667,36.73333333,40.56666667,40.6,42.06666667,39.26666667,40.23333333,42.36666667,36.96666667,43.86666667,52.93333333,51.66666667,50.4,50.83333333,47.23333333,41.06666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
